,Return,Std Dev,Symbol(Name)
MKTX.O,26.97,32.97,MKTX.O (마켓액세스 홀딩스)
FTV,13.3,26.67,FTV (포티브)
TFX,13.83,26.12,TFX (텔레플렉스)
NVR,23.98,28.95,NVR (NVR)
CTRA.K,14.92,76.97,CTRA.K (코테라 에너지)
ED,6.88,19.04,ED (콘솔리데이티드 에디슨)
QRVO.O,15.15,42.2,QRVO.O (코보)
CLX,7.94,21.29,CLX (크로락스)
GNRC.K,28.09,43.1,GNRC.K (제네락 홀딩스)
VTR,6.71,31.75,VTR (벤타스)
CF,21.1,39.25,CF (CF 인더스트리스 홀딩스)
AVB,8.34,23.49,AVB (아발론베이 커뮤니티)
CINF.O,14.91,25.79,CINF.O (신시내티 파이낸셜)
VRSN.O,18.22,26.06,VRSN.O (베리사인)
UHS,18.28,32.36,UHS (유니버셜 헬스 서비스)
BG,9.43,28.74,BG (번지 글로벌)
PFG.O,14.12,31.72,PFG.O (프린시펄 파이낸셜 그룹)
IPG,15.65,31.91,IPG (인터퍼블릭 그룹 오브 컴퍼니스)
HOLX.O,16.98,27.52,HOLX.O (홀로직)
CAG,5.88,23.19,CAG (콘아그라 브랜즈)
WTW.O,7.74,22.95,WTW.O (윌리스 타워스 왓슨)
RJF,17.57,31.58,RJF (레이먼드 제임스 파이낸셜)
CNP,9.04,24.5,CNP (센터포인트 에너지)
RL,12.94,35.57,RL (랄프 로렌)
CBRE.K,20.77,33.67,CBRE.K (CBRE 그룹)
OMC,10.38,24.93,OMC (옴니콤 그룹)
XEL.O,8.69,19.53,XEL.O (엑셀 에너지)
PPL,3.2,21.13,PPL (PPL)
BR,20.48,22.3,BR (브로드리지 파이낸셜 솔루션스)
MOS,5.39,41.22,MOS (모자이크)
HST.O,22.06,36.39,HST.O (호스트 호텔스 & 리조트)
WYNN.O,12.04,45.61,WYNN.O (윈 리조트)
JKHY.O,17.4,21.89,JKHY.O (잭 헨리 & 어소시에이츠)
EG,15.79,24.21,EG (에베레스트 그룹)
PNR,13.7,28.36,PNR (펜테어)
PKG,20.46,27.27,PKG (패키징 코퍼레이션 오브 아메리카)
EIX,8.76,23.93,EIX (에디슨 인터내셔널)
WEC,10.26,20.24,WEC (WEC 에너지 그룹)
EQR,7.53,23.91,EQR (에퀴티 레지덴셜)
MAS,20.32,31.92,MAS (매스코)
PODD.O,30.59,41.06,PODD.O (인슐릿)
AKAM.O,11.82,34.64,AKAM.O (아카마이 테크놀로지)
CMS,12.12,19.73,CMS (CMS 에너지)
GRMN.K,10.97,26.62,GRMN.K (가민)
TROW.O,11.05,28.51,TROW.O (티 로웨 프라이스 그룹)
AEE,10.13,20.88,AEE (애머런)
WRB,17.78,21.88,WRB (W. R. 버클리)
STE,16.6,25.33,STE (스테리스)
J,13.94,27.52,J (제이콥스 솔루션스)
ES,7.92,21.52,ES (에버소스 에너지)
BRO,19.9,21.81,BRO (브라운 & 브라운)
CTLT.K,20.73,40.7,CTLT.K (캐털란트)
GPC,12.25,24.23,GPC (제뉴인 파츠)
TSN,13.17,28.17,TSN (타이슨 푸드)
AVY,18.14,26.77,AVY (에이버리 데니슨)
ESS,10.3,24.08,ESS (에섹스 프로퍼티 트러스트)
DGX,10.34,22.98,DGX (퀘스트 다이아그노스틱스)
ROL,24.26,29.25,ROL (롤린스)
RVTY.K,17.01,27.45,RVTY.K (레비티)
DTE,9.72,20.56,DTE (DTE 에너지)
INVH.K,12.05,26.33,INVH.K (인비테이션 홈스)
GL,14.73,28.66,GL (글로브 라이프)
COO.O,14.66,33.28,COO.O (쿠퍼 컴퍼니스)
ATO,12.93,20.56,ATO (애트모스 에너지)
FE,3.2,23.95,FE (퍼스트에너지)
IFF,9.43,26.72,IFF (인터내셔널 플레이버스 & 프레그런스)
SJM,6.44,21.25,SJM (J.M.스머커)
KMX,17.26,35.78,KMX (카맥스)
STX.O,25.31,40.66,STX.O (씨게이트 테크놀로지 홀딩스)
FMC,11.06,30.87,FMC (FMC)
GEN.O,15.36,31.26,GEN.O (젠 디지털)
TXT,18.32,33.56,TXT (텍스트론)
WY,10.62,30.51,WY (와이어하우저)
TDY,21.91,26.6,TDY (텔레다인 테크놀로지스)
AWK,16.33,21.39,AWK (아메리칸 워터 웍스)
NI,14.27,22.03,NI (나이소스)
PARA.O,-23.44,58.22,PARA.O (파라마운트 글로벌 Class B)
KIM,7.77,31.54,KIM (킴코 리얼티)
BWA,9.4,33.34,BWA (보그워너)
TPR,9.62,39.85,TPR (태피스트리)
CPT,10.16,23.47,CPT (캠든 프로퍼티 트러스트)
LH,10.79,24.67,LH (랩코프 홀딩스)
IEX,17.82,23.21,IEX (아이덱스)
MHK,14.26,36.97,MHK (모호크 인더스트리스)
PNW,7.43,21.05,PNW (피너클 웨스트 캐피털)
PAYC.K,38.8,46.54,PAYC.K (페이콤 소프트웨어)
SNA,17.58,25.86,SNA (스냅-온)
CRL,19.19,31.23,CRL (찰스 리버 래보라토리스 인터내셔널)
UDR,8.49,24.53,UDR (UDR)
K,2.75,19.69,K (켈라노바)
BBWI.K,-6.62,47.46,BBWI.K (배스 앤 바디 웍스)
DAY,19.39,45.23,DAY (데이포스)
NWSA.O,9.73,29.18,NWSA.O (뉴스 코퍼레이션 Class A)
AMCR.K,1.81,29.71,AMCR.K (앰코)
DVA,16.36,29.05,DVA (다비타)
ZBRA.O,27.31,36.13,ZBRA.O (지브라 테크놀로지스)
EVRG.O,8.62,21.15,EVRG.O (에버지)
VTRS.O,-5.94,33.39,VTRS.O (비아트리스)
ARE,7.46,24.61,ARE (알렉산드리아 리얼에스테이트 이쿼티)
CPB,4.04,21.91,CPB (캠벨 수프)
DOC,0.73,27.68,DOC (헬스피크 프로퍼티스)
TAP,4.6,26.42,TAP (몰슨 쿠어스 베버리지 Class B)
BXP,3.0,28.01,BXP (보스턴 프로퍼티스)
MAA,10.19,23.18,MAA (미드아메리카 아파트 커뮤니티)
BIO,12.56,27.81,BIO (바이오래드 래보라토리스 Class A)
BEN,3.1,30.54,BEN (프랭클린 리소시스)
FFIV.O,12.21,33.46,FFIV.O (F5)
NTRS.O,8.14,28.01,NTRS.O (노던 트러스트)
AOS,21.62,27.06,AOS (A O 스미스)
EMN,14.29,29.94,EMN (이스트만 케미컬)
LNT.O,10.38,19.88,LNT.O (얼라이언트 에너지)
HSIC.O,11.27,24.11,HSIC.O (헨리 셰인)
REG.O,8.42,28.16,REG.O (리젠시 센터스)
NDSN.O,20.95,29.19,NDSN.O (노드슨)
