,Return,Std Dev,Symbol(Name)
AEE,11.0,20.88,AEE (애머런)
MOS,4.9,41.16,MOS (모자이크)
CSGP.O,29.02,30.99,CSGP.O (코스타 그룹)
XEL.O,9.26,19.55,XEL.O (엑셀 에너지)
WBA.O,-2.38,29.78,WBA.O (월그린스 부츠 얼라이언스)
FOXA.O,6.34,33.23,FOXA.O (폭스 Class A)
WTW.O,9.73,22.85,WTW.O (윌리스 타워스 왓슨)
EG,15.34,24.27,EG (에베레스트 그룹)
MTD,23.72,27.35,MTD (메틀러 톨레도 인터내셔널)
DGX,10.97,23.03,DGX (퀘스트 다이아그노스틱스)
A,19.07,28.45,A (애질런트 테크놀로지스)
STE,17.37,25.31,STE (스테리스)
BALL.K,1.36,34.31,BALL.K (볼)
LYV,24.25,37.36,LYV (라이브 네이션 엔터테인먼트)
VTRS.O,-2.96,33.42,VTRS.O (비아트리스)
IT,28.18,27.88,IT (가트너)
IP,9.27,29.45,IP (인터내셔널 페이퍼)
VRSK.O,19.61,21.98,VRSK.O (베리스크 애널리틱스)
STLD.O,24.36,37.65,STLD.O (스틸 다이내믹스)
RJF,16.51,31.58,RJF (레이먼드 제임스 파이낸셜)
ADM,9.36,25.99,ADM (아처 대니얼스 미들랜드)
INVH.K,11.85,26.37,INVH.K (인비테이션 홈스)
STT,10.68,31.32,STT (스테이트 스트리트)
CTVA.K,18.58,34.88,CTVA.K (코르테바)
CPB,4.64,21.9,CPB (캠벨 수프)
CBRE.K,22.38,33.7,CBRE.K (CBRE 그룹)
BWA,9.28,33.39,BWA (보그워너)
QRVO.O,14.05,42.24,QRVO.O (코보)
AMCR.K,3.33,29.54,AMCR.K (앰코)
MKC,16.87,36.34,MKC (맥코믹 앤 컴퍼니 무의결권주)
BR,21.05,22.34,BR (브로드리지 파이낸셜 솔루션스)
POOL.O,26.73,28.93,POOL.O (풀)
GRMN.K,11.77,26.61,GRMN.K (가민)
PKG,20.82,27.24,PKG (패키징 코퍼레이션 오브 아메리카)
CMS,12.78,19.72,CMS (CMS 에너지)
MAS,20.91,31.96,MAS (매스코)
FAST.O,16.15,26.44,FAST.O (패스널)
ZBRA.O,27.42,36.1,ZBRA.O (지브라 테크놀로지스)
ATO,13.57,20.53,ATO (애트모스 에너지)
EQR,7.7,23.88,EQR (에퀴티 레지덴셜)
MHK,16.42,37.35,MHK (모호크 인더스트리스)
HAS.O,7.87,30.03,HAS.O (해즈브로)
AVB,8.42,23.48,AVB (아발론베이 커뮤니티)
EXR,22.86,25.57,EXR (엑스트라 스페이스 스토리지)
NTRS.O,8.13,27.99,NTRS.O (노던 트러스트)
DVA,16.35,29.04,DVA (다비타)
VRSN.O,17.95,26.04,VRSN.O (베리사인)
INCY.O,21.87,40.89,INCY.O (인사이트)
DFS,23.77,35.07,DFS (디스커버 파이낸셜 서비스)
GL,15.54,28.62,GL (글로브 라이프)
SWK,9.77,31.87,SWK (스탠리 블랙 & 데커)
TAP,4.9,26.43,TAP (몰슨 쿠어스 베버리지 Class B)
DD,2.7,33.14,DD (듀폰)
ESS,10.52,24.06,ESS (에섹스 프로퍼티 트러스트)
TYL,34.5,28.76,TYL (타일러 테크놀로지스)
DTE,10.26,20.58,DTE (DTE 에너지)
IPG,15.91,31.89,IPG (인터퍼블릭 그룹 오브 컴퍼니스)
WRB,17.65,21.99,WRB (W. R. 버클리)
